ID,name,budget,currency_code,description,startsAt,endsAt,person_ID
f1b34c98-1b3d-4cb8-9a77-4b1943b4f5fa,Hawaii Vacation,2500.00,USD,Relaxing on the beach,2024-07-01T00:00:00.000Z,2024-07-10T00:00:00.000Z,d70c77b4-0452-4a6d-a382-fd4bf3dbf5ed
7c8f1baf-9570-4349-9a68-3f8b31bde34e,European Tour,6000.00,EUR,Visiting various cities in Europe,2024-08-15T00:00:00.000Z,2024-09-01T00:00:00.000Z,0f8e1a95-907b-47d4-bad6-3b7315d749cc
c3d90c8d-516c-4c60-b8cf-f82b85deed3a,Ski Trip,1200.00,USD,Skiing in the Alps,2024-12-05T00:00:00.000Z,2024-12-12T00:00:00.000Z,11cf8b96-0f4c-4c9a-91d6-3e3e39d28dfd
d2461e7d-e2f3-44bc-badf-b45c2b3b0bfb,Business Conference,3000.00,USD,Attending a tech conference in San Francisco,2024-10-20T00:00:00.000Z,2024-10-24T00:00:00.000Z,13b7b77a-82a4-45b8-ae10-02a19c64e5f9
e12c82f7-7386-48c3-9f0f-d88b8e73a1a4,Family Reunion,500.00,USD,Family gathering in New York,2024-11-15T00:00:00.000Z,2024-11-17T00:00:00.000Z,ad202cbb-f42c-43bb-b07f-02d450de4a5e
0e5c7162-9b70-4899-91ea-205a3a2b8a45,Anniversary Celebration,2000.00,USD,Romantic getaway,2024-09-01T00:00:00.000Z,2024-09-07T00:00:00.000Z,5ae0117b-2f67-4d9d-a9fc-e5717f8b5d69
3f54b3c6-d0a7-4d96-8e1a-6a7cf11d5e2c,Mountain Hiking,800.00,USD,Hiking trip in the Rockies,2024-06-10T00:00:00.000Z,2024-06-14T00:00:00.000Z,e80f0952-3df1-4762-8b5e-dba095ed9e71
8a2c0b8f-dc8b-41ef-86b3-48f48f1c4b47,Cultural Tour,1500.00,USD,Exploring ancient sites,2024-04-20T00:00:00.000Z,2024-04-30T00:00:00.000Z,57ed5f3f-e04f-4908-9f2f-d6d4208e1e96
b0c93b16-2fa8-4b44-9dd0-37204b8d6dc8,Beach Holiday,1800.00,USD,Relaxing by the sea,2024-07-15T00:00:00.000Z,2024-07-22T00:00:00.000Z,083e1649-1242-41f8-a8f8-0e2b1e8c8cf5
2b72c3a6-3782-4f3e-8b68-82c7dfe3e26a,City Break,900.00,USD,Weekend in the city,2024-05-05T00:00:00.000Z,2024-05-07T00:00:00.000Z,77479f13-4ac6-4720-8540-38f4648cf8fa
463c7f87-238e-48c4-bc20-6cc3137bfb06,Desert Safari,1100.00,USD,Exploring the desert,2024-03-10T00:00:00.000Z,2024-03-15T00:00:00.000Z,256ecf97-c5f8-482b-bf7d-4b55a573bcec
